"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"HLA-E","OK","negbinomial.size",7.60477522912653e-42,1.21305007666462e-39,"HLA-E",1079
"HBB","OK","negbinomial.size",8.95301213468342e-42,1.41169448808721e-39,"HBB",52
"RPL10","OK","negbinomial.size",1.13191510978712e-41,1.76450130409769e-39,"RPL10",1199
"GSN","OK","negbinomial.size",2.67459885594832e-41,4.12248843886507e-39,"GSN",964
"MUC5B","OK","negbinomial.size",6.84351310161567e-41,1.04310347475515e-38,"MUC5B",185
"BPIFB1","OK","negbinomial.size",1.01278902134164e-40,1.52675162579831e-38,"BPIFB1",131
"PFDN5","OK","negbinomial.size",1.08833118118377e-40,1.62279642863902e-38,"PFDN5",1146
"TAGLN","OK","negbinomial.size",1.54102782724271e-40,2.27309889614145e-38,"TAGLN",796
"DKK1","OK","negbinomial.size",4.43518351958715e-40,6.47253697039325e-38,"DKK1",345
"MT1E","OK","negbinomial.size",8.24259175240719e-40,1.1902302490476e-37,"MT1E",811
"IGFBP7","OK","negbinomial.size",9.5298957959621e-40,1.36178240134383e-37,"IGFBP7",1182
"RPL28","OK","negbinomial.size",4.2513633018865e-39,6.01239193559578e-37,"RPL28",1201
"SPCS2","OK","negbinomial.size",5.47400960334205e-39,7.66249629986186e-37,"SPCS2",949
"DPEP1","OK","negbinomial.size",1.20018640722767e-38,1.66304617518679e-36,"DPEP1",166
"SFRP1","OK","negbinomial.size",2.73161608928586e-38,3.74723095128234e-36,"SFRP1",822
"RPS12","OK","negbinomial.size",4.63175647353905e-38,6.29093418851571e-36,"RPS12",1190
"IL32","OK","negbinomial.size",7.52164516334032e-38,1.01158753285002e-35,"IL32",711
"MAFB","OK","negbinomial.size",1.02281262343012e-37,1.3622275308946e-35,"MAFB",384
"C3","OK","negbinomial.size",3.67386969036754e-37,4.84597542427518e-35,"C3",443
"STEAP4","OK","negbinomial.size",6.47019970903759e-37,8.45316186748359e-35,"STEAP4",336
"LCN2","OK","negbinomial.size",9.36575357186406e-37,1.21206988206444e-34,"LCN2",338
"GREM1","OK","negbinomial.size",9.92203035205122e-37,1.27205992868634e-34,"GREM1",170
"CCL4","OK","negbinomial.size",7.01316865641388e-36,8.908022928582e-34,"CCL4",142
"JUND","OK","negbinomial.size",7.85596403883873e-36,9.88698299860457e-34,"JUND",1107
"CD74","OK","negbinomial.size",8.31308723662771e-36,1.03671755192781e-33,"CD74",469
