"","SamplingTime","TrainRiskP","TrainRiskAUC","TestRiskP","TestRiskAUC","TCGARiskP","TCGARiskAUC","GEO1RiskP","GEO1RiskAUC","GEO2RiskP","GEO2RiskAUC","GeneNums"
"158",176,1.0708619159736e-08,0.950231822462873,0.32106377297625,0.729975553907988,6.39504779658554e-07,0.83915184826201,NA,NA,NA,NA,12
"159",177,2.77623288606947e-11,0.916954344649102,0.725406849431254,0.695518800005274,3.57565434446749e-05,0.808763438105084,NA,NA,NA,NA,10
"160",178,0.00130672553283891,0.821518157192169,0.322045679050681,0.698161044727891,0.000319975811992281,0.75099323169097,NA,NA,NA,NA,2
"161",179,0.000798413416608255,0.818383793025586,0.0212485905984015,0.667638604258865,9.44644726464221e-05,0.737721087377802,NA,NA,NA,NA,2
"162",180,2.0534972948238e-10,0.946226383878742,0.0921748569217958,0.720950998576902,3.1576739887607e-08,0.829697746803647,NA,NA,NA,NA,11
"163",181,1.11617229815155e-05,0.861900449381365,0.484223789899269,0.639755078378261,0.000289719087267898,0.755986584718363,NA,NA,NA,NA,8
"164",182,4.96640630394182e-12,0.906349320645269,0.0129739823390981,0.674368126748483,3.13464864926095e-11,0.798283859507662,NA,NA,NA,NA,12
"165",184,0.000195719421380715,0.764897495121223,0.102239857508529,0.724712244804665,8.57594078609808e-05,0.744824094356405,NA,NA,NA,NA,2
"166",185,6.75220670418757e-05,0.816344708629628,0.0933987894934518,0.675084350592809,0.00010107925940831,0.729268998971424,NA,NA,NA,NA,3
"167",186,1.31248337980549e-07,0.93089204460851,0.0112245108788065,0.742620321135416,6.55374829736666e-08,0.842571959186045,NA,NA,NA,NA,11
"168",188,2.99594930426572e-07,0.932380478465954,0.0283324692323183,0.679907111116393,1.81641817073942e-07,0.820260110179109,NA,NA,NA,NA,11
"169",189,1.29685550085758e-11,0.961553075765562,0.246524822824387,0.782221729707304,3.33765197264408e-08,0.842543876852687,NA,NA,NA,NA,13
"170",190,9.06924798498999e-11,0.942120772192281,0.126268678357621,0.806483425237949,4.08403601009337e-07,0.854837489735496,NA,NA,NA,NA,12
"171",191,1.30827109859125e-12,0.889549315504375,0.0586680621093177,0.69866731228056,7.22855065095289e-09,0.786491470898231,NA,NA,NA,NA,13
"172",192,0.000156193906534434,0.802667527182531,0.131546398444595,0.654755475957849,0.000248890525343342,0.739014800250497,NA,NA,NA,NA,2
"173",193,0.00201186909424829,0.855343314207048,0.00651940206277402,0.677954044690394,0.000148450192802698,0.769908205838155,NA,NA,NA,NA,3
"174",194,2.22867468281906e-08,0.942436271833491,0.915844393380887,0.598822369349198,0.000124682644529325,0.797168204481289,NA,NA,NA,NA,9
"175",195,1.79188767023849e-06,0.794361325300009,0.215004594398153,0.676947838064417,0.000108451314378177,0.723895532606703,NA,NA,NA,NA,4
