,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SUV39H1,0.38414018355383,0.00978052272910885,0.022,0.015,1
RTL8C,0.384381121371671,0.0344177884475111,0.575,0.561,1
ENOX1,0.384704912214691,0.00777322822506557,0.078,0.065,1
ASH2L,0.384752433557677,0.00591534689020667,0.158,0.137,1
TUT1,0.384804044801953,0.0112878942685908,0.033,0.025,1
ST6GAL1,0.384859755056082,0.0140028370299289,0.063,0.051,1
RRAGC,0.385066372410771,0.000430759484385146,0.297,0.268,1
BCL6,0.385424671312037,-0.0155278235464715,0.204,0.177,1
ZFP90,0.385562525455057,0.0122812711278587,0.222,0.2,1
TMEM242,0.38601423964414,-0.00513804192519929,0.376,0.343,1
SAMD9L,0.38642515512167,0.015537350240035,0.234,0.212,1
CYFIP2,0.386769573274888,0.00475297891275762,0.058,0.046,1
SERINC1,0.386932960600769,-0.0305389385928583,0.716,0.778,1
DNAJC1,0.387044584243846,-0.0435349929837439,0.642,0.664,1
CCPG1,0.387452051085667,-0.0123728470028091,0.615,0.674,1
JCAD,0.387462164128396,0.0261605242635432,0.075,0.063,1
CARHSP1,0.387484902760747,0.00240132576748686,0.627,0.68,1
ZBTB12,0.388438444172021,-0.0129417982135232,0.015,0.022,1
OGG1,0.388481572888146,0.0118389073527489,0.136,0.119,1
RAI2,0.388619609420971,0.0110973949867166,0.202,0.182,1
STS,0.388864592084734,0.00764504305225219,0.103,0.088,1
ZBED1,0.38929210587018,0.00283694234747811,0.308,0.278,1
PRPF4,0.389516507470259,0.01397748559567,0.192,0.172,1
VAMP3,0.389612569735135,0.00269704290304351,0.425,0.384,1
CLBA1,0.389996097823898,0.00788755095826552,0.065,0.053,1
BEX3,0.390038993493469,-0.0295736889108382,0.861,0.906,1
CREB3L1,0.390091728124074,0.0245536243572486,0.182,0.164,1
ZSCAN16,0.390202063741672,0.0032816969346315,0.022,0.015,1
C5orf49,0.390202063741672,-0.00809917373773515,0.015,0.022,1
LIPC,0.390202063741672,-0.0113301943191815,0.015,0.022,1
NR3C2,0.390265993883207,-0.011184266740695,0.025,0.033,1
SEPSECS,0.390559776574128,-0.0141661137316131,0.038,0.048,1
TBC1D9B,0.390708314724383,-0.00425667658241818,0.32,0.288,1
TLR6,0.390994829096773,0.00490375730649942,0.022,0.015,1
PARP11,0.391099730805404,0.0016570012076296,0.131,0.113,1
SLC12A8,0.391155428766806,-0.00296194464866506,0.058,0.046,1
CTLA4,0.391399803797966,5.827984393246e-05,0.022,0.015,1
DLC1,0.3914159543844,0.0691782020831249,0.471,0.462,1
ZSCAN25,0.391487459761348,0.00482657596890856,0.046,0.036,1
MRPL43,0.392105758923402,0.0221294563126048,0.575,0.563,1
NEFH,0.392765837899783,0.0032816969346315,0.022,0.015,1
KYNU,0.392765852939948,0.00165700120762942,0.022,0.015,1
FAM83H,0.392765852939948,-0.00481551329798786,0.022,0.015,1
CBX4,0.393520123301294,0.0126915959313385,0.176,0.156,1
MMD,0.393746182330335,0.0164124667735488,0.186,0.167,1
MANBA,0.393754449556171,0.000215039890728241,0.133,0.114,1
POLB,0.393780683629317,0.00465101542023426,0.103,0.088,1
TOX2,0.393846055092534,-0.0288464530857852,0.106,0.121,1
NBEAL1,0.394561809151316,0.00272594839653462,0.401,0.374,1
SGSH,0.394655639254321,0.00762716819413327,0.103,0.088,1
STX17,0.394832774198362,-0.00168934881971466,0.375,0.334,1
TMEM200A,0.394955236375884,0.00887724918111657,0.131,0.114,1
CXCL14,0.39514123330316,-0.0400753038392665,0.841,0.894,1
HOMER2,0.395148137120674,-0.00318562326815858,0.022,0.015,1
GCNT4,0.395339431127607,-0.00483652810291878,0.015,0.022,1
PCSK1,0.396015271409055,-0.0330928468571092,0.075,0.061,1
PIGH,0.396138513741474,0.0101797800696124,0.158,0.139,1
GTF2A2,0.39619639338268,0.00393231504476477,0.708,0.699,1
NCAPD2,0.396294411249001,0.00622669689769467,0.083,0.07,1
BRMS1L,0.396319921817564,0.0118389073527489,0.129,0.113,1
TMEM250,0.396607516301622,0.016004449615771,0.139,0.123,1
AP3M1,0.396700104864194,0.0187028684806181,0.153,0.136,1
CWC25,0.396982874391737,0.0202838494147973,0.312,0.293,1
ZKSCAN5,0.397088182621052,-0.0215100580739049,0.06,0.071,1
CLDN1,0.397236374141353,0.015686849418068,0.033,0.025,1
SMPDL3A,0.397340743493334,-0.0569998609486598,0.234,0.245,1
URI1,0.397426637240624,-0.0217450027876752,0.672,0.707,1
CLDN23,0.397560354208188,0.013815205687439,0.088,0.075,1
CLSTN2,0.397783639556265,-0.00599414552789022,0.06,0.048,1
MEF2A,0.397836726324205,-0.0280126942791177,0.396,0.353,1
NFASC,0.398165741320887,0.0239110489379079,0.151,0.134,1
CMTM2,0.398222693697023,0.0173559107507333,0.035,0.026,1
ACVR2A,0.398359623811681,0.00314399032920777,0.106,0.091,1
HSH2D,0.398526070570828,-0.00960619107108113,0.022,0.015,1
LIMA1,0.398593929652293,0.054433975392572,0.638,0.666,1
FANCD2,0.399019374412607,0.00820366943394382,0.013,0.008,1
LRRC69,0.399019374412607,0.00820366943394382,0.013,0.008,1
LRRC49,0.399095131735176,-0.00415696865779036,0.131,0.113,1
IRX2,0.399203295981233,0.0135974415795475,0.086,0.073,1
TIA1,0.399479949506961,-0.00796359677935299,0.408,0.369,1
C5orf24,0.399856924692817,-0.032039491366371,0.554,0.593,1
WWTR1,0.399972527433239,-0.0359997182303754,0.617,0.664,1
PITPNM2,0.400310147882849,0.00657101601005862,0.013,0.008,1
SIRPB1,0.400315956990299,0.00653109696587478,0.013,0.008,1
WDR24,0.400321070744307,0.00958725688360703,0.05,0.04,1
SPNS1,0.400502963565191,0.00820581308653501,0.235,0.212,1
ARHGEF10L,0.400619160412534,-0.0195881074061067,0.078,0.091,1
MPHOSPH8,0.400926400783339,-0.0500968916951829,0.852,0.899,1
TSHZ3,0.40097183557382,-0.000767242403876822,0.28,0.253,1
SRRM1,0.401173799481347,0.00889332557614608,0.856,0.861,1
FAM169A,0.401603110020698,0.00493569266932776,0.013,0.008,1
ARG2,0.401603110020698,0.00493569266932776,0.013,0.008,1
GSC,0.401603110020698,0.00493569266932776,0.013,0.008,1
ZBTB42,0.401603110020698,0.00493569266932776,0.013,0.008,1
PGBD4,0.401603110020698,0.00493569266932776,0.013,0.008,1
P2RY11,0.401603110020698,0.00493569266932776,0.013,0.008,1
C19orf38,0.401603110020698,0.00493569266932776,0.013,0.008,1
GATD3B,0.401603110020698,0.00493569266932776,0.013,0.008,1
CFLAR,0.401764825586255,-0.0451086844936015,0.629,0.657,1
TRIM35,0.401885609164818,0.0112724599070714,0.035,0.026,1
COA8,0.401957205895166,-0.00393272827115726,0.367,0.333,1
NPIPB2,0.402040909638951,-0.011184266740695,0.027,0.035,1
