,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TMBIM6,0.332054108254173,-0.0400795066239867,0.953,0.95,1
FHAD1,0.332068393961455,0.0147366868155955,0.018,0.012,1
ALG1L,0.33225184612497,0.00828505153410677,0.018,0.012,1
SEMA3A,0.332323282135841,0.0147056193370295,0.028,0.02,1
VPS8,0.332435342051469,0.0168443049297768,0.146,0.127,1
NRIP3,0.332461074454455,0.0115160721155533,0.028,0.02,1
HSBP1,0.332477708815208,-0.0356974110672219,0.822,0.863,1
ZNF224,0.332668804926189,-5.99203980737872e-05,0.176,0.153,1
ZNF496,0.332728231168493,0.0289652567716455,0.113,0.097,1
C17orf58,0.332783636029138,-0.0246456262789049,0.121,0.14,1
THUMPD2,0.332787141895209,0.0165155506706224,0.183,0.162,1
RUBCNL,0.333012238061918,0.0245696452986074,0.105,0.089,1
HRCT1,0.333041727555305,0.00828505153410692,0.018,0.012,1
ABAT,0.333246024617153,0.0115108607829894,0.028,0.02,1
PHLPP1,0.33332158105502,0.00988377289780376,0.04,0.03,1
CCDC122,0.333427772471868,0.0181235005343949,0.16,0.14,1
PLCG2,0.333557298310973,0.0115056662341491,0.028,0.02,1
PHF23,0.333611080470247,0.0218170577526832,0.2,0.178,1
ZFPM1,0.333714495206501,0.00313703501670559,0.253,0.221,1
C6orf226,0.333771688243437,0.013918869252363,0.161,0.14,1
GPKOW,0.3338173093657,0.026303557036785,0.101,0.086,1
MAN2A1,0.333907091119939,0.014048756250857,0.336,0.307,1
RAD23B,0.333950325833953,0.024927628509105,0.479,0.446,1
RESF1,0.333956957582473,0.0116435769412412,0.542,0.517,1
BIN1,0.334115525838542,-0.0258738672772121,0.233,0.256,1
MAGT1,0.334170265757697,0.0248325885166366,0.379,0.35,1
BANK1,0.334323736571395,0.00990186676101216,0.028,0.02,1
KLHL17,0.334374949792715,0.00828505153410673,0.04,0.03,1
SHQ1,0.334386431155291,0.0144579106411878,0.073,0.059,1
DDX42,0.334406924154586,0.0406503360361387,0.536,0.521,1
LRRC37A3,0.33441645665368,0.00665505932317585,0.018,0.012,1
RAD1,0.33446328360672,0.0108723750990577,0.241,0.216,1
TOR2A,0.33453691852108,-0.0227251852084534,0.053,0.066,1
TIGD6,0.334635529290626,0.00669142569882875,0.04,0.03,1
TMEM161A,0.334782538998651,0.0245455724058872,0.203,0.182,1
HP1BP3,0.334796381280745,0.02416986207413,0.882,0.906,1
DTX3,0.334898321602385,0.0188253335695392,0.22,0.196,1
BATF2,0.335044588038646,0.0162153072100842,0.042,0.031,1
C19orf48,0.335159313257733,0.00573402974250153,0.228,0.203,1
DTYMK,0.335192511346909,0.0219244446274257,0.271,0.243,1
MAMSTR,0.335208953592092,0.00665771187473144,0.018,0.012,1
RPRD1A,0.335251842645621,0.0136541919491651,0.205,0.182,1
NAA10,0.335287529844247,0.0124172888190173,0.423,0.386,1
AL162231.1,0.335389244944837,0.00983423852093612,0.07,0.056,1
PSAP,0.335508361208268,0.0154510948257744,0.963,0.95,1
KHK,0.335794514181085,0.00502240589929054,0.018,0.012,1
FLRT2,0.335898661148023,0.044882195625664,0.228,0.211,1
C15orf61,0.335927804216907,-0.00993038835723414,0.298,0.262,1
AKAP10,0.336127750347591,0.0241469558345735,0.138,0.12,1
