"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PFKP",1.10926747019631e-07,0.0672976023215862,0.079,0.017,0.00194365846127797
"SNRPB",1.15769663950661e-07,0.152014009387257,0.45,0.305,0.00202851605174347
"SURF4",1.1934822198792e-07,0.152109576923453,0.423,0.284,0.00209121954567233
"BHMT2",1.19737005951338e-07,0.0973250981626286,0.189,0.085,0.00209803181827934
"HNRNPA1",1.67377783687177e-07,0.160127196220803,0.878,0.89,0.00293279352576671
"CTHRC1",1.7574069270002e-07,0.793463332685028,0.399,0.304,0.00307932841748974
"OLFML3",1.81247832289927e-07,0.169776971297883,0.453,0.321,0.00317582451738409
"KRT1",1.84667764983229e-07,0.0565722744962302,0.061,0.009,0.00323574857803614
"MAT2A",1.87102059592384e-07,0.13543173610012,0.322,0.194,0.00327840228817775
"CD47",2.26609994085184e-07,0.14303937198462,0.302,0.178,0.00397066031636059
"TCP1",2.31589986708242e-07,0.16186622246264,0.396,0.269,0.00405791974710181
"MFAP2",2.37871575286677e-07,0.180782376533861,0.437,0.308,0.00416798574217315
"MATR3.1",2.40993808677892e-07,0.0734480037627338,0.11,0.035,0.00422269351565402
"UBD",2.49133505077453e-07,0.171914966272888,0.131,0.05,0.00436531727596713
"VCAM1",2.52731524978067e-07,0.249183092430071,0.423,0.301,0.00442836178066569
"PSMA4",2.54077253457702e-07,0.176193162054577,0.464,0.343,0.00445194163508585
"MEOX2",2.56971696918554e-07,0.111508063173907,0.142,0.056,0.00450265807340691
"PRRC2C",3.01786004500873e-07,0.185483425271448,0.676,0.587,0.0052878943708643
"MDM4",3.02489343558039e-07,0.132156757980742,0.309,0.185,0.00530021827782396
"UBE2L6",3.17418093578336e-07,0.147453310610965,0.295,0.177,0.0055617998356796
"NUDT4",3.29905761824704e-07,0.122948080570184,0.25,0.135,0.00578060875869246
"CAPZA1",3.4449608073448e-07,0.144867195886198,0.268,0.152,0.00603626032662957
"CILP",3.72888854326013e-07,0.10016889840666,0.059,0.009,0.0065337585055004
"NES",3.88407384310612e-07,0.159189999858368,0.376,0.248,0.00680567418789054
"SLC29A1",3.92652805385327e-07,0.0734685762963448,0.095,0.028,0.0068800624559617
"NUCKS1",4.09621110141909e-07,0.181537910213458,0.8,0.855,0.00717738109190654
"FGFR1",4.16646984672288e-07,0.230119791867174,0.554,0.446,0.00730048846542782
"DTX3L",4.39515843159979e-07,0.114787538664621,0.187,0.089,0.00770119660384916
"GPBP1",4.54021255604199e-07,0.153259857854129,0.419,0.288,0.00795536044069677
"ZNF385D",4.56851974662729e-07,0.0602710369098004,0.072,0.016,0.00800496030004034
"SYNCRIP",4.57375444773424e-07,0.148910303453075,0.394,0.266,0.00801413254331993
"IER3IP1",4.62435089910223e-07,0.132156757980742,0.322,0.199,0.00810278764540693
"RGS4",4.62643533634837e-07,0.242190573999375,0.333,0.211,0.00810643999634961
"GBP3",4.65843404315081e-07,0.124272320980877,0.284,0.164,0.00816250813040886
"TCF20",5.00796816978869e-07,0.0823156472517478,0.133,0.051,0.00877496182710375
"ATR",5.28859833974408e-07,0.0965057803747085,0.171,0.077,0.00926668201089958
"EGR3",5.40173456174552e-07,0.145402392977427,0.178,0.084,0.0094649192990905
"MAGOH",5.53278806568668e-07,0.121629141725215,0.257,0.144,0.00969455124869621
"DCTPP1",5.68201565161518e-07,0.0846750663565174,0.146,0.06,0.00995602782476012
