,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PRR3,0.793905187554096,0.00134586053721047,0.032,0.029,1
NECAP2,0.793917870307868,0.0140474365170955,0.167,0.163,1
MAN2B2,0.79394282188374,0.00226586708396662,0.088,0.093,1
TGOLN2,0.79478296243657,0.0233759935597464,0.486,0.501,1
ATAD3B,0.794969596645161,-0.00232407365173086,0.023,0.025,1
NBPF10,0.794969596645161,-0.00232407365173086,0.023,0.025,1
SLC36A1,0.794969596645161,-0.00232407365173086,0.023,0.025,1
E2F5,0.794969596645161,-0.00232407365173086,0.023,0.025,1
TMEM116,0.794969596645161,-0.00232407365173086,0.023,0.025,1
LPCAT4,0.794969596645161,-0.00232407365173086,0.023,0.025,1
LRRC75B,0.794969596645161,-0.00232407365173086,0.023,0.025,1
ZNF701,0.795124259355631,0.00437273643189576,0.065,0.062,1
ZNF589,0.795445343991536,0.00169650159182161,0.014,0.012,1
PHF7,0.795445343991536,0.00169650159182161,0.014,0.012,1
AFG1L,0.795445343991536,0.00169650159182161,0.014,0.012,1
TTLL11,0.795445343991536,0.00169650159182161,0.014,0.012,1
PANK1,0.795445343991536,0.00169650159182161,0.014,0.012,1
ZNF730,0.795445343991536,0.00169650159182161,0.014,0.012,1
ZNF223,0.795445343991536,0.00169650159182161,0.014,0.012,1
CARF,0.795610613332048,0.00601991713349515,0.045,0.042,1
MROH1,0.795628141366041,0.00279856638781355,0.038,0.035,1
ARHGEF28,0.795838985822814,0.00601478946742928,0.095,0.09,1
TIMM29,0.795942448926102,0.00512875978525656,0.115,0.11,1
FOXN2,0.796154559726833,0.00420782036202173,0.059,0.055,1
HAUS3,0.796154559726833,0.00420782036202173,0.059,0.055,1
SLC26A6,0.79721533699319,-0.00140180818762039,0.023,0.025,1
RAC3,0.797512560778699,0.000402003029175799,0.014,0.012,1
TRAPPC6A,0.798019029323742,0.0042905367688682,0.108,0.104,1
ELAC1,0.798046405541744,0.00297590642415551,0.045,0.042,1
CCDC6,0.798128654529828,-0.00540259243679153,0.191,0.197,1
CERK,0.79822723158442,-0.0058618346951498,0.099,0.104,1
ZWILCH,0.798347258846552,-0.000638009432280873,0.034,0.037,1
NCLN,0.798388593896494,0.00331086488057064,0.072,0.068,1
TET1,0.79875906099403,0.00178740655074977,0.135,0.142,1
SPICE1,0.798931420485701,0.0031509988532023,0.052,0.048,1
CHN1,0.798998400316661,-0.0149154099378421,0.295,0.295,1
FBXL3,0.799550694677245,0.0120673371704991,0.137,0.134,1
TEAD3,0.799563200838885,-0.00361754078916093,0.108,0.113,1
SLC9A6,0.79970654524917,-0.000123852742128342,0.023,0.025,1
